Dato,Antal Aktive minutter,Kalorier (kcal),Distance (m),Hjertepoint,Hjerteminutter,Gennemsnitlig hastighed (m/s),Højeste hastighed (m/s),Laveste hastighed (m/s),Antal skridt,Varighed af Gang (ms)
2021-10-02,114,513.6620960235596,6949.380983352661,29.0,23,1.0477357153329583,2.4060301780700684,0.761325478553772,10321,6666127
2021-10-03,72,313.53742730617523,3709.7113633155823,,,0.909754801457998,1.0947812795639038,0.6989809274673462,5803,4068979
2021-10-04,87,398.72733813524246,7374.607850074768,80.0,80,1.1825228161558319,1.4951963424682617,0.7639960646629333,10102,5174544
2021-10-05,88,400.192111492157,7474.633270263672,84.0,84,1.3450729982819067,1.4956638813018799,0.9090304970741272,10229,5193553
2021-10-06,168,770.5987439155579,14767.322249412537,163.0,163,1.199961158044062,1.547460675239563,0.7058913707733154,20030,10000561
2021-10-07,91,412.60018491744995,7762.65710067749,117.0,88,1.29238167646965,2.0513193607330322,0.7574167847633362,10540,5354581
2021-10-08,106,469.1347025632858,8511.58966255188,96.0,96,1.229902356466727,1.5141881704330444,0.7706641554832458,11749,6088266
2021-10-09,96,440.66151428222656,8740.679473876953,95.0,95,1.507882951764162,1.6031215190887451,1.410251498222351,11732,5718751
2021-10-10,154,700.5557951927185,13340.565594673157,149.0,149,1.3804718839123398,1.5511455535888672,0.8631495237350464,18142,9091568
2021-10-11,91,416.4138250350952,7343.985733032227,86.0,86,1.250987315573904,1.440677523612976,0.9842256903648376,10238,5404073
2021-10-12,26,109.32070964574814,1829.4707412719727,21.0,21,1.2828941144581285,1.6127773523330688,0.777302622795105,2592,1418726
2021-10-13,131,430.4217450618744,11581.697043418884,135.0,127,1.179491755699506,1.7243857383728027,0.7047748565673828,15697,5585863
2021-10-14,61,272.5585136413574,4625.906627655029,49.0,49,1.1514496225946858,1.5961284637451172,0.7165205478668213,6473,3537169
2021-10-15,153,699.6690998077393,12419.221138000488,126.0,126,1.330161781173356,1.5105146169662476,0.8807950615882874,17245,9080061
2021-10-16,99,452.227152466774,7286.564091682434,66.0,66,0.9375752731186646,1.4341825246810913,0.7121638059616089,10347,5868846
2021-10-17,124,563.8398356437683,10661.07230758667,113.0,113,1.0315224196771664,1.588752031326294,0.7850912809371948,14504,7317316
2021-10-18,117,529.8972260951996,10513.525039672852,111.0,111,1.3068912935503292,1.5764883756637573,0.7455520033836365,14102,6876821
2021-10-19,92,419.92453849315643,7126.699359893799,77.0,77,1.1668271772803505,1.4598870277404785,0.7125539779663086,10043,5449634
2021-10-20,32,146.7418919801712,1999.5637950897217,9.0,9,0.9784091698164064,1.3677524328231812,0.718244731426239,2990,1904365
2021-10-21,125,567.25954413414,7429.110427856445,24.0,24,0.9704725032874284,1.262756586074829,0.6665267944335938,11305,7361696
